Night,fert,Year   ,Cross,Species,,,
8/22/2019,91.56975642,Year 1 (2019),52-55,O.faveolata,,,
8/22/2019,7.2102605,Year 1 (2019),52-56,O.faveolata,,,
8/22/2019,84.48804874,Year 1 (2019),52-57,O.faveolata,,,
8/22/2019,95.20751229,Year 1 (2019),52-77,O.faveolata,,,
8/22/2019,93.8736468,Year 1 (2019),52-79,O.faveolata,,,
8/22/2019,82.89495842,Year 1 (2019),52-90,O.faveolata,,,
8/22/2019,91.00076104,Year 1 (2019),52-107,O.faveolata,,,
8/22/2019,95.71960061,Year 1 (2019),53-52,O.faveolata,,,
8/22/2019,95.73843708,Year 1 (2019),53-54,O.faveolata,,,
8/22/2019,92.97925109,Year 1 (2019),53-55,O.faveolata,,,
8/22/2019,7.369946082,Year 1 (2019),53-56,O.faveolata,,,
8/22/2019,84.94773842,Year 1 (2019),53-57,O.faveolata,,,
8/22/2019,94.66867451,Year 1 (2019),53-77,O.faveolata,,,
8/22/2019,93.94089135,Year 1 (2019),53-79,O.faveolata,,,
8/22/2019,81.65979355,Year 1 (2019),53-90,O.faveolata,,,
8/22/2019,87.83429604,Year 1 (2019),53-107,O.faveolata,,,
8/22/2019,93.93840764,Year 1 (2019),54-52,O.faveolata,,,
8/22/2019,83.15922274,Year 1 (2019),54-53,O.faveolata,,,
8/22/2019,53.71979783,Year 1 (2019),54-56,O.faveolata,,,
8/22/2019,94.45417709,Year 1 (2019),54-77,O.faveolata,,,
8/22/2019,89.8957448,Year 1 (2019),54-79,O.faveolata,,,
8/22/2019,78.2491803,Year 1 (2019),54-90,O.faveolata,,,
8/22/2019,82.5877193,Year 1 (2019),54-107,O.faveolata,,,
8/22/2019,94.49894039,Year 1 (2019),55-52,O.faveolata,,,
8/22/2019,80.84196529,Year 1 (2019),55-53,O.faveolata,,,
8/22/2019,51.50236245,Year 1 (2019),55-56,O.faveolata,,,
8/22/2019,95.31237779,Year 1 (2019),55-77,O.faveolata,,,
