Cross,Fert,Direction,Genet,Species,Year,Night
007-025 ,27.52689497,Ova,x25,ACER,Year 2-2022,ACER-8/15/2022
022-025 ,34.21652422,Ova,x25,ACER,Year 2-2022,ACER-8/15/2022
028-025 ,31.52875587,Ova,x25,ACER,Year 2-2022,ACER-8/15/2022
031-025 ,23.19790538,Ova,x25,ACER,Year 2-2022,ACER-8/15/2022
048-025 ,27.93317793,Ova,x25,ACER,Year 2-2022,ACER-8/15/2022
056-025 ,28.82498058,Ova,x25,ACER,Year 2-2022,ACER-8/15/2022
067-025 ,21.41614221,Ova,x25,ACER,Year 2-2022,ACER-8/15/2022
104-025 ,34.5190175,Ova,x25,ACER,Year 2-2022,ACER-8/15/2022
121-025 ,32.62626263,Ova,x25,ACER,Year 2-2022,ACER-8/15/2022
007-028 ,20.38162783,Ova,x28,ACER,Year 2-2022,ACER-8/15/2022
022-028 ,28.15965427,Ova,x28,ACER,Year 2-2022,ACER-8/15/2022
025-028 ,16.78018278,Ova,x28,ACER,Year 2-2022,ACER-8/15/2022
031-028 ,12.19047619,Ova,x28,ACER,Year 2-2022,ACER-8/15/2022
048-028 ,16.01909995,Ova,x28,ACER,Year 2-2022,ACER-8/15/2022
056-028 ,24.53383616,Ova,x28,ACER,Year 2-2022,ACER-8/15/2022
067-028 ,15.60558683,Ova,x28,ACER,Year 2-2022,ACER-8/15/2022
104-028 ,31.83596891,Ova,x28,ACER,Year 2-2022,ACER-8/15/2022
121-028 ,31.1323764,Ova,x28,ACER,Year 2-2022,ACER-8/15/2022
007-031 ,59.0104789,Ova,x31,ACER,Year 2-2022,ACER-8/15/2022
022-031 ,86.76470588,Ova,x31,ACER,Year 2-2022,ACER-8/15/2022
025-031 ,54.0347664,Ova,x31,ACER,Year 2-2022,ACER-8/15/2022
028-031 ,61.41287486,Ova,x31,ACER,Year 2-2022,ACER-8/15/2022
048-031 ,16.08045977,Ova,x31,ACER,Year 2-2022,ACER-8/15/2022
056-031 ,70.22357724,Ova,x31,ACER,Year 2-2022,ACER-8/15/2022
067-031 ,32.14098979,Ova,x31,ACER,Year 2-2022,ACER-8/15/2022
104-031 ,77.89767379,Ova,x31,ACER,Year 2-2022,ACER-8/15/2022
121-031 ,48.37094586,Ova,x31,ACER,Year 2-2022,ACER-8/15/2022
007-048 ,43.95839817,Ova,x48,ACER,Year 2-2022,ACER-8/15/2022
022-048 ,50.48993722,Ova,x48,ACER,Year 2-2022,ACER-8/15/2022
025-048 ,23.93673195,Ova,x48,ACER,Year 2-2022,ACER-8/15/2022
028-048 ,33.72643617,Ova,x48,ACER,Year 2-2022,ACER-8/15/2022
